bin_index,left_log1p,right_log1p,left_raw,right_raw,left_raw_approx,right_raw_approx,stress_range_approx
28,6.72,6.96,827.8175114814695,1052.6335572423195,827.818,1052.63,827.818 - 1052.63
29,6.96,7.199999999999999,1052.6335572423195,1338.4307643944169,1052.63,1338.43,1052.63 - 1338.43
30,7.199999999999999,7.439999999999999,1338.4307643944169,1701.7502211507524,1338.43,1701.75,1338.43 - 1701.75
31,7.439999999999999,7.68,1701.7502211507524,2163.619771847478,1701.75,2163.62,1701.75 - 2163.62
32,7.68,7.92,2163.619771847478,2750.7710457300204,2163.62,2750.77,2163.62 - 2750.77
33,7.92,8.16,2750.7710457300204,3497.186603763332,2750.77,3497.19,2750.77 - 3497.19
34,8.16,8.4,3497.186603763332,4446.066747699858,3497.19,4446.07,3497.19 - 4446.07
35,8.4,8.64,4446.066747699858,5652.329824436018,4446.07,5652.33,4446.07 - 5652.33
36,8.64,8.879999999999999,5652.329824436018,7185.790735800932,5652.33,7185.79,5652.33 - 7185.79
37,8.879999999999999,9.12,7185.790735800932,9135.20161642468,7185.79,9135.2,7185.79 - 9135.2
38,9.12,9.36,9135.20161642468,11613.38854204492,9135.2,11613.4,9135.2 - 11613.4
39,9.36,9.6,11613.38854204492,14763.781565577268,11613.4,14763.8,11613.4 - 14763.8
40,9.6,9.84,14763.781565577268,18768.716019921245,14763.8,18768.7,14763.8 - 18768.7
41,9.84,10.08,18768.716019921245,23859.985542098944,18768.7,23860,18768.7 - 23860
42,10.08,10.32,23859.985542098944,30332.25759622461,23860,30332.3,23860 - 30332.3
43,10.32,10.56,30332.25759622461,38560.127945680775,30332.3,38560.1,30332.3 - 38560.1
44,10.56,10.8,38560.127945680775,49019.80113638167,38560.1,49019.8,38560.1 - 49019.8
45,10.8,11.04,49019.80113638167,62316.65179269976,49019.8,62316.7,49019.8 - 62316.7
46,11.04,11.28,62316.65179269976,79220.26189149474,62316.7,79220.3,62316.7 - 79220.3
47,11.28,11.52,79220.26189149474,100708.9618669522,79220.3,100709,79220.3 - 100709
48,11.52,11.76,100708.9618669522,128026.45345226408,100709,128026,100709 - 128026
49,11.76,12.0,128026.45345226408,162753.79141900392,128026,162754,128026 - 162754
