展示编号,选择排序,case_name,node_index,x,y,z,frequency_points,psd_relative_mae,psd_within25,relative_error_for_color
代表样本 1,1,case843_mises_full_export,16429,-13.076661109924316,-28.12234115600586,0.0,77,0.03482694807292307,1.0,0.03482694807292307
代表样本 1,1,case843_mises_full_export,9439,-30.322067260742188,7.0230865478515625,8.792805671691895,77,0.034791309704744054,1.0,0.034791309704744054
代表样本 1,1,case843_mises_full_export,25041,55.06793975830078,8.24186897277832,8.572741508483887,77,0.033501260630642224,1.0,0.033501260630642224
代表样本 1,1,case843_mises_full_export,23461,-12.88564395904541,-28.03789710998535,15.0,77,0.03513612702500994,1.0,0.03513612702500994
代表样本 1,1,case843_mises_full_export,15936,15.845449447631836,-30.083648681640625,12.448400497436523,77,0.02304948014721226,1.0,0.02304948014721226
代表样本 1,1,case843_mises_full_export,14179,35.66410446166992,-3.530611038208008,11.350990295410156,77,0.034955093588728406,1.0,0.034955093588728406
代表样本 1,1,case843_mises_full_export,22793,19.802330017089844,25.89923858642578,4.269774436950684,77,0.04133980178467736,1.0,0.04133980178467736
代表样本 1,1,case843_mises_full_export,4926,-69.40864562988281,-81.30213928222656,11.323929786682127,77,2.5821862467322743,0.5974025974025974,2.5821862467322743
代表样本 1,1,case843_mises_full_export,15333,-47.92274475097656,2.298396110534668,10.058547019958496,77,0.03951564972446143,1.0,0.03951564972446143
代表样本 1,1,case843_mises_full_export,10095,-27.496326446533203,9.874494552612305,2.065284490585327,77,0.04596615574644295,1.0,0.04596615574644295
代表样本 1,1,case843_mises_full_export,12233,-20.288799285888672,22.70018577575684,5.209986209869385,77,0.04441213900943033,1.0,0.04441213900943033
代表样本 1,1,case843_mises_full_export,1141,46.61182022094727,1.2947983741760254,0.0,77,0.029093539145171897,1.0,0.029093539145171897
代表样本 1,1,case843_mises_full_export,18356,-20.215591430664062,-52.07305145263672,10.783775329589844,77,0.029649920998951543,1.0,0.029649920998951543
代表样本 1,1,case843_mises_full_export,12880,20.624874114990234,-40.66443634033203,2.068326473236084,77,0.023845390431800638,1.0,0.023845390431800638
代表样本 1,1,case843_mises_full_export,15780,19.26533317565918,-34.71405792236328,10.240854263305664,77,0.020628357178746275,1.0,0.020628357178746275
代表样本 1,1,case843_mises_full_export,12856,20.031816482543945,-36.692657470703125,2.342254638671875,77,0.026145802965756602,1.0,0.026145802965756602
代表样本 1,1,case843_mises_full_export,15935,18.171039581298828,-32.732398986816406,9.96868133544922,77,0.022733564012723237,1.0,0.022733564012723237
代表样本 1,1,case843_mises_full_export,15954,13.910284996032717,-28.629039764404297,12.513681411743164,77,0.025208452188821097,1.0,0.025208452188821097
代表样本 1,1,case843_mises_full_export,19153,19.58025360107422,-49.478057861328125,0.0,77,0.03779870680137991,1.0,0.03779870680137991
代表样本 1,1,case843_mises_full_export,20564,-18.898149490356445,-108.3644790649414,7.5,77,0.06398525061471351,0.935064935064935,0.06398525061471351
代表样本 1,1,case843_mises_full_export,10363,22.80444526672364,36.36238861083984,10.212968826293944,77,0.024285313101824035,1.0,0.024285313101824035
代表样本 1,1,case843_mises_full_export,15620,-38.90007781982422,-1.825061559677124,10.936395645141602,77,0.02807017298515088,1.0,0.02807017298515088
代表样本 1,1,case843_mises_full_export,15966,11.655696868896484,-27.858867645263672,12.513681411743164,77,0.03249035362160293,1.0,0.03249035362160293
代表样本 1,1,case843_mises_full_export,9912,-26.46806526184082,37.89533233642578,4.435892581939697,77,0.014553784324739177,1.0,0.014553784324739177
代表样本 1,1,case843_mises_full_export,16655,-32.28566360473633,-4.775635719299316,15.0,77,0.02741815424832708,1.0,0.02741815424832708
代表样本 1,1,case843_mises_full_export,23289,20.042945861816406,30.15864944458008,12.451478004455566,77,0.02813445316501379,1.0,0.02813445316501379
代表样本 1,1,case843_mises_full_export,12816,18.219655990600582,-32.933570861816406,7.577169418334961,77,0.01676588902036756,1.0,0.01676588902036756
代表样本 1,1,case843_mises_full_export,23189,42.45536422729492,-0.2342817038297653,12.403071403503418,77,0.022574162254669943,1.0,0.022574162254669943
代表样本 1,1,case843_mises_full_export,8748,-97.46981811523438,30.239864349365234,7.5,77,0.0811403431633318,0.922077922077922,0.0811403431633318
代表样本 1,1,case843_mises_full_export,21283,-10.82567024230957,-27.342010498046875,15.0,77,0.05349204578783133,0.935064935064935,0.05349204578783133
代表样本 1,1,case843_mises_full_export,18836,-21.677810668945312,-99.59136962890624,7.5,77,0.08075425019578451,0.935064935064935,0.08075425019578451
代表样本 1,1,case843_mises_full_export,21180,2.1628780364990234,31.38213348388672,12.771307945251465,77,0.04921261715524499,1.0,0.04921261715524499
代表样本 1,1,case843_mises_full_export,23267,41.39488983154297,-0.6715030074119568,6.806123733520508,77,0.01637655921267533,1.0,0.01637655921267533
代表样本 1,1,case843_mises_full_export,22646,-29.56535148620605,1.4190469980239868,9.892163276672363,77,0.044903100188519174,0.987012987012987,0.044903100188519174
代表样本 1,1,case843_mises_full_export,20014,-13.827631950378418,-78.18099975585938,7.5,77,0.06379370523356627,0.935064935064935,0.06379370523356627
