展示编号,选择排序,case_name,node_index,target_rmises,pred_rmises,node_label,x,y,z,RMises_native,abs_error,relative_error,pred_target_ratio,target_rank,target_rank_fraction,relative_error_for_color
代表样本 1,1,case843_mises_full_export,7394,14267.156264107882,16255.71238012208,7395,-2.9713573455810547,140.72372436523438,8.75,14218.448828125,1988.556116014197,0.1393799913033012,1.1393799913033014,1801,0.1350378645872385,0.1393799913033012
代表样本 1,1,case843_mises_full_export,4224,14266.771619096286,16273.41281799569,4225,113.95181274414062,-80.11308288574219,10.0,14828.171223958334,2006.641198899404,0.1406513857846778,1.1406513857846778,1802,0.1351128439679088,0.1406513857846778
代表样本 1,1,case843_mises_full_export,732,14255.9102017278,14004.909928817748,733,-6.235278606414795,123.22610473632812,5.0,14250.393629807691,251.00027291005244,0.0176067518214046,0.9823932481785952,1803,0.1351878233485791,0.0176067518214046
代表样本 1,1,case843_mises_full_export,6804,14240.997815406075,12156.647257281436,6805,-14.352752685546877,114.85614776611328,7.5,12961.979736328123,2084.350558124639,0.1463626766285831,0.8536373233714168,1804,0.1352628027292494,0.1463626766285831
代表样本 1,1,case843_mises_full_export,5487,14239.061393208254,14835.052112876025,5488,-79.24752807617188,-76.28780364990234,10.0,14300.228841145834,595.9907196677705,0.0418560397493648,1.0418560397493648,1805,0.1353377821099197,0.0418560397493648
代表样本 1,1,case843_mises_full_export,6213,14238.20857881459,12870.220258864058,6214,-9.195051193237305,118.23863220214844,6.200607299804688,14089.32080078125,1367.988319950533,0.0960786823973065,0.9039213176026936,1806,0.1354127614905901,0.0960786823973065
代表样本 1,1,case843_mises_full_export,4714,14236.02172962942,10953.790260156138,4715,83.13034057617188,-81.006591796875,10.0,14604.5751953125,3282.2314694732813,0.2305581946845428,0.7694418053154573,1807,0.1354877408712604,0.2305581946845428
代表样本 1,1,case843_mises_full_export,4584,14233.204111522648,14772.898827992609,4585,91.3602294921875,-71.6807861328125,10.0,14645.3515625,539.6947164699595,0.0379180058292738,1.0379180058292738,1808,0.1355627202519307,0.0379180058292738
代表样本 1,1,case843_mises_full_export,5339,14231.438376253363,16516.798449056376,5340,-88.90101623535156,-71.90347290039062,6.7134552001953125,12366.0546875,2285.3600728030106,0.1605853190929998,1.1605853190929998,1809,0.135637699632601,0.1605853190929998
代表样本 1,1,case843_mises_full_export,4387,14227.479284410683,14180.90241071671,4388,121.78137969970705,-60.24296188354492,7.5,13508.544677734377,46.57687369397536,0.0032737263406182,0.9967262736593818,1810,0.1357126790132713,0.0032737263406182
代表样本 1,1,case843_mises_full_export,4358,14224.915764677457,15677.060262252046,4359,119.36058044433594,-52.93333053588867,10.0,14776.811848958334,1452.1444975745908,0.1020845762180524,1.1020845762180524,1811,0.1357876583939416,0.1020845762180524
代表样本 1,1,case843_mises_full_export,703,14220.367826235251,16028.479740892117,704,-21.81210327148437,115.13053131103516,5.0,13879.77978515625,1808.111914656865,0.1271494476620406,1.1271494476620405,1812,0.135862637774612,0.1271494476620406
代表样本 1,1,case843_mises_full_export,7244,14217.69020098948,15339.222981763874,7245,-11.71740436553955,139.55384826660156,5.0,14082.494140625,1121.5327807743945,0.0788829102983508,1.0788829102983508,1813,0.1359376171552823,0.0788829102983508
代表样本 1,1,case843_mises_full_export,5840,14216.589948488583,12781.911698745973,5841,-106.04713439941406,-34.24798583984375,7.5,12736.545166015623,1434.678249742612,0.1009157790258371,0.8990842209741629,1814,0.1360125965359526,0.1009157790258371
代表样本 1,1,case843_mises_full_export,120,14207.20583302724,12188.739439891717,121,102.50953674316406,-39.897308349609375,10.0,14211.139973958334,2018.4663931355224,0.1420734250533084,0.8579265749466916,1815,0.1360875759166229,0.1420734250533084
代表样本 1,1,case843_mises_full_export,19875,14201.899851102611,13854.450770307823,19876,-55.99903106689453,-40.989559173583984,0.0,14739.58203125,347.44908079478773,0.0244649719007708,0.9755350280992292,1816,0.1361625552972932,0.0244649719007708
代表样本 1,1,case843_mises_full_export,5406,14187.92505643375,15883.95157589174,5407,-105.40647888183594,-64.42071533203125,10.0,14507.272786458334,1696.0265194579897,0.1195401380196111,1.119540138019611,1817,0.1362375346779635,0.1195401380196111
代表样本 1,1,case843_mises_full_export,7119,14175.193839753743,14640.654951956352,7120,13.875699996948242,128.38113403320312,10.0,14107.771484375,465.461112202609,0.0328363137368353,1.0328363137368353,1818,0.1363125140586338,0.0328363137368353
代表样本 1,1,case843_mises_full_export,5257,14165.924696161488,15612.04010059649,5258,-82.04531860351562,-75.33134460449219,6.2107696533203125,12359.663037109374,1446.1154044350023,0.1020840810220354,1.1020840810220354,1819,0.1363874934393042,0.1020840810220354
代表样本 1,1,case843_mises_full_export,4118,14150.421573770696,14046.10236763018,4119,116.80422973632812,-53.632102966308594,5.0,14489.55126953125,104.31920614051523,0.0073721624190958,0.992627837580904,1820,0.1364624728199745,0.0073721624190958
代表样本 1,1,case843_mises_full_export,5633,14144.997389523129,10523.195035039971,5634,-116.12265014648438,-38.075904846191406,9.25,13776.03125,3621.8023544831576,0.2560482872316217,0.7439517127683782,1821,0.1365374522006448,0.2560482872316217
代表样本 1,1,case843_mises_full_export,6634,14140.750398660308,11441.757888845004,6635,19.9248046875,109.014404296875,8.862021446228027,12245.5849609375,2698.9925098153053,0.1908662859978779,0.809133714002122,1822,0.1366124315813151,0.1908662859978779
代表样本 1,1,case843_mises_full_export,6331,14137.301309773504,15128.465455644562,6332,9.410717010498049,128.22462463378906,6.124849796295166,13883.8599609375,991.1641458710584,0.0701098550673061,1.0701098550673065,1823,0.1366874109619854,0.0701098550673061
代表样本 1,1,case843_mises_full_export,4791,14137.25296039232,9732.368373622512,4792,108.38134002685548,-23.178295135498047,10.0,14687.169921875,4404.884586769809,0.3115799511482724,0.6884200488517276,1824,0.1367623903426557,0.3115799511482724
代表样本 1,1,case843_mises_full_export,2134,14133.298492498425,10976.944453304322,2135,2.1055002212524414,120.8179931640625,7.5207953453063965,14128.742431640623,3156.354039194101,0.2233274872719492,0.7766725127280508,1825,0.136837369723326,0.2233274872719492
代表样本 1,1,case843_mises_full_export,2136,14129.945060255735,10338.809768467485,2137,-2.03757905960083,119.54075622558594,7.595180988311768,14131.480322265625,3791.1352917882505,0.2683050270628324,0.7316949729371676,1826,0.1369123491039964,0.2683050270628324
代表样本 1,1,case843_mises_full_export,5505,14128.854686268514,12982.971540741331,5506,-101.72109985351562,-68.05584716796875,10.0,14292.658203125,1145.883145527183,0.0811023378024291,0.9188976621975709,1827,0.1369873284846667,0.0811023378024291
代表样本 1,1,case843_mises_full_export,7080,14121.416700318783,15455.051282183433,7081,2.053236722946167,109.9808349609375,7.5,13243.8134765625,1333.6345818646478,0.0944405657142418,1.0944405657142418,1828,0.137062307865337,0.0944405657142418
代表样本 1,1,case843_mises_full_export,7383,14120.789977391889,15310.228951544615,7384,13.737215995788574,135.0331573486328,5.0,14238.879557291666,1189.4389741527284,0.0842331750601121,1.0842331750601122,1829,0.1371372872460073,0.0842331750601121
代表样本 1,1,case843_mises_full_export,4490,14112.309598858128,16227.004625274036,4491,107.76202392578124,-40.9464111328125,10.0,14606.203125,2114.695026415908,0.1498475505800279,1.149847550580028,1830,0.1372122666266776,0.1498475505800279
代表样本 1,1,case843_mises_full_export,668,14106.88248665196,12685.68556502242,669,-110.93450164794922,-56.806976318359375,10.0,14255.111409505207,1421.1969216295402,0.1007449323388273,0.8992550676611727,1831,0.1372872460073479,0.1007449323388273
代表样本 1,1,case843_mises_full_export,636,14092.42138316472,15057.6750839054,637,-90.99764251708984,-75.4770278930664,10.0,13022.5888671875,965.2537007406808,0.0684945244323878,1.0684945244323878,1832,0.1373622253880183,0.0684945244323878
代表样本 1,1,case843_mises_full_export,4334,14082.4002285925,12404.43363796544,4335,107.20622253417967,-50.2714958190918,10.0,14233.52685546875,1677.9665906270602,0.1191534513569757,0.8808465486430243,1833,0.1374372047686886,0.1191534513569757
代表样本 1,1,case843_mises_full_export,4333,14080.531790491055,12346.176754359198,4334,106.3297882080078,-52.02613830566406,10.0,14221.06982421875,1734.3550361318594,0.1231739725415139,0.876826027458486,1834,0.1375121841493589,0.1231739725415139
代表样本 1,1,case843_mises_full_export,5910,14073.713335291704,14741.028658213818,5911,-126.17204284667967,-62.52155303955078,10.0,13859.39306640625,667.3153229221152,0.0474157251198753,1.0474157251198752,1835,0.1375871635300292,0.0474157251198753
代表样本 1,1,case843_mises_full_export,3700,14071.180391760725,15516.066359186012,3701,114.037841796875,-57.28168487548828,7.5,14095.202734375,1444.8859674252872,0.102684062544698,1.102684062544698,1836,0.1376621429106995,0.102684062544698
代表样本 1,1,case843_mises_full_export,6367,14057.566920906029,16871.41578414759,6368,4.019265174865723,122.16731262207033,5.0,13940.663411458334,2813.848863241561,0.2001661367912026,1.2001661367912029,1837,0.1377371222913698,0.2001661367912026
代表样本 1,1,case843_mises_full_export,4965,14056.595846410026,12656.511090750531,4966,-103.14879608154295,-38.75641632080078,8.75643539428711,13392.1552734375,1400.0847556594929,0.0996034012045004,0.9003965987954995,1838,0.1378121016720402,0.0996034012045004
代表样本 1,1,case843_mises_full_export,19834,14053.110862125846,12912.439190989136,19835,-7.204971790313721,67.37167358398438,0.0,15133.0068359375,1140.6716711367098,0.0811686239671603,0.9188313760328396,1839,0.1378870810527105,0.0811686239671603
代表样本 1,1,case843_mises_full_export,7341,14047.244566786449,16838.78380332524,7342,13.905998229980469,132.23988342285156,5.0,14129.351888020834,2791.5392365387943,0.1987250398657654,1.1987250398657654,1840,0.1379620604333808,0.1987250398657654
代表样本 1,1,case843_mises_full_export,5593,14021.585224905768,14763.771440425344,5594,-107.81723022460938,-41.41453552246094,7.5,13230.58515625,742.1862155195759,0.0529316909332955,1.0529316909332955,1841,0.1380370398140511,0.0529316909332955
代表样本 1,1,case843_mises_full_export,113,14011.330427276864,13691.341104874178,114,89.26260375976562,-64.28209686279297,10.0,11999.817888532369,319.9893224026855,0.022837897090753,0.977162102909247,1842,0.1381120191947214,0.022837897090753
代表样本 1,1,case843_mises_full_export,5152,14005.3014277797,13038.289716917405,5153,-83.88932800292969,-71.29977416992188,6.287467002868652,13570.235026041666,967.0117108622944,0.0690461191320176,0.9309538808679824,1843,0.1381869985753917,0.0690461191320176
代表样本 1,1,case843_mises_full_export,5669,14002.717034228634,17880.226636965726,5670,-113.41444396972656,-75.75857543945312,7.5,14519.708984375,3877.509602737093,0.276911230388988,1.276911230388988,1844,0.138261977956062,0.276911230388988
代表样本 1,1,case843_mises_full_export,5299,13985.554073038003,13365.71792041817,5300,-105.43365478515624,-35.402069091796875,8.731826782226562,12242.816650390623,619.8361526198332,0.0443197423128756,0.9556802576871244,1845,0.1383369573367324,0.0443197423128756
代表样本 1,1,case843_mises_full_export,5504,13985.034215378058,14428.315142600484,5505,-101.04143524169922,-43.440956115722656,7.5,13359.301025390623,443.2809272224258,0.0316968067718411,1.0316968067718413,1846,0.1384119367174027,0.0316968067718411
代表样本 1,1,case843_mises_full_export,729,13983.885119116592,17078.743295395827,730,11.045477867126465,130.64393615722656,5.0,14162.586263020834,3094.8581762792346,0.2213160470010173,1.2213160470010174,1847,0.138486916098073,0.2213160470010173
代表样本 1,1,case843_mises_full_export,4114,13976.887263185352,16125.967138400902,4115,114.7126693725586,-54.89228439331055,5.0,13541.672526041666,2149.0798752155497,0.153759548513792,1.153759548513792,1848,0.1385618954787433,0.153759548513792
